komentar;label;clean;;;;;;;
cuan emg alexis17 modal 100k jd 4jt;1;cuan emg alexis17 modal 1 k jd 4jt;;;;;;;
keren banget ! menang 𝐒𝐆𝐈𝟖𝟖 ; auto liburan mewah !;1;keren banget menang sgi88 auto libur mewah;;;;;;
KIA = Korean International Automotive;0;kia korean international automotive;;;;;;;
Mahal banget 50jt iphone 11 sampai yg 16 aja gak kebeli😭;0;mahal banget 5 jt iphone yg aja gak kebel sob;;;;;;;
Ya kan pasti ada sambungannya jadi ngga mati 1 layarnya 😂;0;kan sambung jadi ngga mati layar joy;;;;;;;
gak salah emang kata sodara gw; maen MANDALIKA77 hari ini; hasilnya mantep bgt brooo; kapan lagi maen bntaran doang udah dikasi narik banyak gini kwkwkw; makasih MANDALIKA77 paling mantep kamu;1;gak salah emang kata sodara gw maen mandalika77 hari hasil mantep bgt brooo kapan maen bntaran doang udah kasi narik banyak gin kwkwkw makasih mandalika77 paling mantep kamu;;;
​ @angeliart_ di bayar berapa om😂;0;angeliart bayar berapa om joy;;;;;;;
iPhone bisa gini GK🤣kaum Apple yg suka hina android panik;0;iphone gin gk rofl kaum apple yg suka hina android panik;;;;;;;
sebulan main alexis17 ; gue udah liburan eropa !;1;bulan main alexis17 gue udah libur eropa;;;;;;
Gokilll bang 🔥🔥🔥;0;gokilll bang fire fire fire;;;;;;;
Coba bayangin sama KDM..;0;coba bayangin sama kdm;;;;;;;
! bang video ! ! 𝐒𝐆𝐈𝟖𝟖 terpercaya 5k 1jt;1;bang video sgi88 percaya 5k 1jt;;;;;;;
minggir miskin jangan nyampah di channel orng;0;minggir miskin jangan nyampah channel orng;;;;;;;
masterpiece👌;0;masterpiece hand;;;;;;;
Kreeeennnnn;;;0;kreeeennnnn;;;;;
FUFU FAFAAA ?;0;fufu fafaaa;;;;;;;
Narkoba penyelundupan ; mantap;0;narkoba selundup mantap;;;;;;
gak modal gede alexis17 .;1;gak modal gede alexis17;;;;;;;
emang konsepnya gitu mas... pure natural... 😬;0;emang konsep gitu mas pure natural grimacing;;;;;;;
𝘼𝙇𝙀𝙓𝙄𝙎17 sih ? heboh banget ?;1;alexis17 sih heboh banget;;;;;;;
Jakpot besar bikin aku makin semangat tiap kali main di D𝑂𝑅𝐴𝟩𝟽!;1;jakpot besar bikin aku makin semangat tiap kali main dora77;;;;;;;
Cuma 50 jt aja kok ; iyaa CUMA 😭;0;cuma jt aja kok iyaa cuma sob;;;;;;
Preeeetttt;0;preeeetttt;;;;;;;
anies terbaik? noooo;0;anies baik noooo;;;;;;;
Episode kali ini ngasih tau kalo bang pandji ga jago main catur 😂;0;episode kali ngasih tau kalo bang pandji ga jago main catur joy;;;;;;;
gacir banget; main di 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓;1;gacir banget main probet855;;;;;;
 @bagusutoro9547  lah emg si owo gtu doang bsa nya kan? buzzer 700 perak kah?;0;bagusutoro9547 lah emg si owo gtu doang bsa nya kan buzzer perak;;;;;;;
pagi-pagi udah senyum ? ya iyalah ; cuan pu lau tujuh tujuh tujuh !;1;pagi pagi udah senyum iya cuan pu lau tujuh tujuh tujuh;;;;;;
Ikut sedih sama mobil baru GD😢;0;ikut sedih sama mobil baru gd cry;;;;;;;
Next Anies or KDM untuk perubahan indonesia 🇮🇩;0;next anies or kdm ubah indonesia id;;;;;;;
Mas kaya mobil reli;0;mas kaya mobil reli;;;;;;;
👍🏼👍🏼👍🏼👍🏼👍🏼🔥🔥🔥;;;;;;;;;
Gue rela ninggalin bisnis lama demi fokus di ALEXIS⭐17⭐.;1;gue rela ninggalin bisnis lama fokus alexis star star;;;;;;;
Tolong  bikin video review lengkap Volvo xc90;0;bikin video review lengkap volvo xc9;;;;;;;
𝐀𝐺𝘜S𝘛𝑂𝙏𝘖 cuan mulu!;1;agustoto cuan mulu;;;;;;;
MORENO KONGA !;0;moreno konga;;;;;;;
yhaaa kaga nyimak video coba tonton lagi ziko bilang apa soal mesin;0;yhaaa kaga nyimak video coba tonton ziko bilang apa soal mesin;;;;;;;
8:01 Almarhum Ken Block 🔥🔥🔥🔥🔥;0;almarhum ken block fire fire fire fire fire;;;;;;;
Pengen hidup makmur? ALEXIS⭐17⭐ jawabannya!;1;ken hidup makmur alexis star star jawab;;;;;;;
@shlevyi7888  eh iya itu..wk;0;shlevyi7888 eh iya wk;;;;;;;
Istimevvah 🔥;0;istimevvah fire;;;;;;;
Berkat nonton yutub Tuan Kecepatan; saya langsung beli besokannya;0;berkat nonton yutub tuan cepat langsung beli besok;;;;;;
Bagus ini ketimbang samsung huawei kualitasnya bagus dari dulu;0;bagus ketimbang samsung huawei kualitas bagus dulu;;;;;;;
sketer muncul ; maen jepek;1;sketer muncul maen jepek;;;;;;
Eh kok tiap scroll story IG temen; pasti ada ＰＵＬＡＵＷＩＮ.;1;eh kok tiap scroll story ig temen pulauwin;;;;;;
Huawei emang ga main main soal inovasi;0;huawei emang ga main main soal inovasi;;;;;;;
temen gue ketagihan alexis17 .;1;temen gue tagih alexis17;;;;;;;
rezeki weton88-bikin hariku bermakna ; terima kasih !;1;rezeki weton88 bikin hari makna terima kasih;;;;;;
Gates gacor banget; udh jepe 2 kali;1;gates gacor banget udh jepe kali;;;;;;
Cuman baca komen; g tertarik liat Isi Video nya....;0;cuman baca komen g tarik liat isi video nya;;;;;;
Pertandingan catur selesai di menit 24:30😅😅😅;0;tanding catur selesai menit sweat smile sweat smile sweat smile;;;;;;;
lo rebahan ; gue udah cuan pu lau tujuh tujuh tujuh;1;lo rebah gue udah cuan pu lau tujuh tujuh tujuh;;;;;;
UU aja bs dirubah bang apalagi jumlah like ...emang parah ni fufufafa;0;uu aja bs rubah bang jumlah like emang parah ni fufufafa;;;;;;;
Awal mula komedi. Lucu banget reaksi Pak Ahok 😂 24:21;0;awal mula komedi lucu banget reaksi pak ahok joy;;;;;;;
Ku kira David ya ngatain 😂;0;ku kira david ngatain joy;;;;;;;
Honda mobil & motor laku krn harga jual kembali 😆;0;honda mobil motor laku krn harga jual laughing;;;;;;;
pagi-pagi udah dapet notif wd alexis17 ! ; mood langsung seharian;1;pagi pagi udah dapet notif wd alexis17 mood langsung hari;;;;;;
coba buy spin 20k maxwin kwkwkkw makasih weton88 nyata emng;1;coba buy spin 2 k maxwin kwkwkkw makasih weton88 nyata emng;;;;;;;
Emang gak ada yang se-fair ALEXIS⭐17⭐ deh.;1;emang gak se fair alexis star star deh;;;;;;;
bermain а𝘎𝙐𝙎𝐓ot𝑂 membuka jalan ; tukang jahit pengusaha sukses .;1;main agustoto buka jalan tukang jahit usaha sukses;;;;;;
𝐀G𝘜𝘚TO𝘛𝘖 aku cba maen; malah jekpot gede;1;agustoto aku cba maen malah jekpot gede;;;;;;
Yang di tunggu akhir nya pak ahok;0;tunggu akhir nya pak ahok;;;;;;;
temen gue bilang alexis17 tuh bikin nagih !;1;temen gue bilang alexis17 tuh bikin nagih;;;;;;;
Duit Malaysia....Rm13000...babi....ckup blnja rumah satu tahun;0;duit malaysia rm13 babi ckup blnja rumah satu tahun;;;;;;;
udh 2 kali JP hari ini; mantul banget;1;udh kali jp hari mantul banget;;;;;;
Dan sudah hancur mobilnya crash hari ini;0;hancur mobil crash hari;;;;;;;
Wew itu turning radius berapa meter ya 😂;0;wew turning radius berapa meter joy;;;;;;;
alexis17 terbaik dah;1;alexis17 baik dah;;;;;;;
gw coba alexis17 yg lg viral 100rb 3jt sampe sejam;1;gw coba alexis17 yg lg viral 1 rb 3jt sampe jam;;;;;;;
Goood banget hp nya; punya charger bawaan🎉🎉;0;goood banget hp nya punya charger bawa tada tada;;;;;;
Hidup lebih seru di 1:08 𝙈𝘼𝙉𝘿𝘼𝙇𝙄𝙆𝘼77;1;hidup lebih seru mandalika77;;;;;;;
makasih mandalika77 berkah kamu beres 2 pinjol aku sisa 1 lagi ngengngengngeng semangaaat;1;makasih mandalika77 berkah kamu beres pinjol aku sisa ngengngengngeng semangaaat;;;;;;;
@lockysigarlaki163  kalau g percaya silahkan KROSCEK bro.. Lu keliru bro;0;lockysigarlaki163 kalau g percaya silah kroscek bro lu keliru bro;;;;;;;
Ini mah auto trending;0;mah auto trending;;;;;;;
Iya cuy sama 😂;0;iya cuy sama joy;;;;;;;
gd emng gk pernah salah anjir kalo modif² mobil keren ❤;0;gd emng gk pernah salah anjir kalo modif2 mobil keren heart;;;;;;;
udah banget menang 𝘼𝙇𝙀𝙓𝙄𝙎17;1;udah banget menang alexis17;;;;;;;
NAFAS LU AMAN BANG;; ENGAP BANGET NYIMAK NYA;0;nafas lu aman bang engap banget nyimak nya;;;;;
"judul seharusnya ""Presiden Prabowo Tidak Menjawab""";0;judul presiden prabowo jawab;;;;;;;
Sidak jokowi kapan;?? Masak ga berani;0;sidak jokowi kapan masak ga berani;;;;;;
setuju mas ridwan di uji sampe aceh... om mobi brani gak? 😅;0;tuju mas ridwan uji sampe aceh om mob brani gak sweat smile;;;;;;;
Bisa kalah atau bisa menang?;0;kalah menang;;;;;;;
berkembang arhan semangattt ! ! ! ! ! salam 𝐒𝐆𝐈𝟖𝟖 ! gampang jepe;1;kembang arhan semangattt salam sgi88 gampang jepe;;;;;;;
dak nyangka hasilnya ; puas banget;1;dak nyangka hasil puas banget;;;;;;
the best 𝐒𝐆𝐈𝟖𝟖 byar !;1;the best sgi88 byar;;;;;;;
kapan iphone bikin fold?;0;kapan iphone bikin fold;;;;;;;
Kalo udh jumpa om mobi seru 😂;0;kalo udh jumpa om mob seru joy;;;;;;;
Setiap pengalaman di p͟͟u͟͟l͟͟a͟͟u͟͟777 selalu berkesan.;1;alam pulau777 selalu kesan;;;;;;;
Udh pasti CRF ditinggal sekebon 🗿;0;udh crf tinggal kebon moyai;;;;;;;
Beli nokia 😂;0;beli nokia joy;;;;;;;
Duh ngeri2 sedep klo nyenggol mobil battle nya di race nya;0;duh ngeri2 sedep klo nyenggol mobil battle nya race nya;;;;;;;
gak nyesel deh udah kenal alexis17 .;1;gak nyesel deh udah kenal alexis17;;;;;;;
Dahsyat GD;0;dahsyat gd;;;;;;;
Jersey timnas terbaru gokil banget; semoga bisa kebeli;0;jersey timnas baru gokil banget moga kebel;;;;;;
bedanya 𝘼𝙇𝙀𝙓𝙄𝙎17 ya ?;1;beda alexis17;;;;;;;
adi ketagihan kan kamu seemenjak mengerti permainan  mandalika77  yang untuk saya senang amat sangat bermain disini sebab memang cuan amat sangat permainan ini lain daqri yang lain;1;adi tagih kan kamu seemenjak erti main mandalika77 senang sangat main sini memang cuan sangat main daqri;;;;;;;
"judul seharusnya: ""Presiden Prabowo yapping""";0;judul presiden prabowo yapping;;;;;;;
★Mandalika77★; auto win terus!;1;mandalika77 auto win terus;;;;;;
modal receh makswin ; gg sih;1;modal receh makswin gg sih;;;;;;
berkat а𝘎𝙐𝙎𝐓ot𝑂 berubah ; pembantu rumah pemilik cleaning service .;1;berkat agustoto ubah bantu rumah milik cleaning service;;;;;;
Pertama kali dlm sejarah; Wa Pres jadi bahan Bullian se Indonesia 😅;0;pertama kali dlm sejarah wa pres jadi bahan bullian se indonesia sweat smile;;;;;;
Enak ya punya bapak presiden; yang lain cari kerja susah banyak phk.😂;0;enak punya bapak presiden cari kerja susah banyak phk joy;;;;;;
orang bilang alexis17 tuh bener-bener mengubah hidup .;1;orang bilang alexis17 tuh bener bener ubah hidup;;;;;;;
Otw jual tanah dlu om😅😂😂;0;otw jual tanah dlu om sweat smile joy joy;;;;;;;
Di banned pun amrik ketar ketir masang tarif ampe 40% 😂😂😂;0;banned amrik ketar tir masang tarif ampe joy joy joy;;;;;;;
𝗪𝗘𝗧𝗢𝗡𝟴𝟴 uhuy !;1;weton88 uhuy;;;;;;;
anak muda yang ga mau jalani proses dengan benar dan merusak demokrasi;0;anak muda ga mau jalan proses benar rusak demokrasi;;;;;;;
Coba maen diGa ru da Ho ki-malah jepe gua wkwk🥳;1;coba maen diga ru da ho ki malah jepe gua wkwk partying face;;;;;;;
13:53 ucing orange lewat;0;ucing orange lewat;;;;;;;
gila byd bagus banget jadinya;0;gila byd bagus banget jadi;;;;;;;
gak skill khusus sukses alexis17 .;1;gak skill khusus sukses alexis17;;;;;;;
 @oxgen3  iya bener kelam kan?;0;oxgen3 iya bener kelam kan;;;;;;;
 @lifeisneverthesame910  7 seater ada tigo 8 phev pea;0;lifeisneverthesame91 seater tigo phev pea;;;;;;;
Video yg ditunggu-tunggu 🔥🔥🔥;0;video yg tunggu tunggu fire fire fire;;;;;;;
coba langsung ngerti suka;1;coba langsung ngerti suka;;;;;;;
Lagi santai-santai; eh dapet rezeki gede dari D𝑂𝑅𝐴𝟩𝟽. Kalian nggak mau ketinggalan kan?;1;santai santai eh dapet rezeki gede dora77 kalian mau tinggal kan;;;;;;
`` nggak ; belajar '' ramah sombong bener boxer boy i i;0;ajar ramah sombong bener boxer boy ii;;;;;;
Kasian kami rakyat konoha 😂;0;kasi rakyat konoha joy;;;;;;;
Yg ada bisa mencret n call bapak 😂😂😂;0;yg mencret n call bapak joy joy joy;;;;;;;
Cuci muka jangan lupa pakai sofel;0;cuci muka jangan lupa pakai sofel;;;;;;;
scroll ; yuk scroll cuan pu lau tujuh tujuh tujuh .;1;scroll yuk scroll cuan pu lau tujuh tujuh tujuh;;;;;;
Murah lah; listrik;0;murah lah listrik;;;;;;
jepe berkah99;1;jepe berkah99;;;;;;;
lsg gicir modal seadanya b​r​o;1;lsg gicir modal ada bro;;;;;;;
maen santai tapi sering big win;1;maen santai sering big win;;;;;;;
Harus buat GD msin kaya ginih gurih suaranya 😊;0;buat gd msin kaya ginih gurih suara blush;;;;;;;
ngikut jejelogy wktu masih sering main game 😂;0;ngikut jejelogy wktu sering main game joy;;;;;;;
Setelah di hujat erspo kini banjir orderan....😂😂;0;hujat erspo kini banjir order joy joy;;;;;;;
​​ @SulisTyowati-el8kl bagus kawan ku 58% kita berfikir logis bukan sok kritis;0;sulistyowati el8kl bagus kawan ku berfikir logis bukan sok kritis;;;;;;;
gak kerasa cepet banget udah main 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 .;1;gak rasa cepet banget udah main pulauwin;;;;;;;
review M4 nya dong bang;0;review m4 nya dong bang;;;;;;;
game-nya gacir ; sketer nggak prnh zonk;1;game nya gacir sketer prnh zonk;;;;;;
18:57 bunyi duit duit duit;0;bunyi duit duit duit;;;;;;;
24:33 dan kemudian berdua marah--marah :_Hahaha::_LOL:;0;kemudian dua marah marah hahaha lol;;;;;;;
orang bilang alexis17 tuh blessing banget !;1;orang bilang alexis17 tuh blessing banget;;;;;;;
; gila ; 𝘼𝙇𝙀𝙓𝙄𝙎17 cepet banget prosesnya ; salut .;1;gila alexis17 cepet banget proses salut;;;;
gila ; 𝘼𝙇𝙀𝙓𝙄𝙎17 cepet banget prosesnya ; salut . pokoknya ?;1;gila alexis17 cepet banget proses salut pokok;;;;;
Hape rumah;0;hape rumah;;;;;;;
Gokil; keren banget mas Dipo🫵🏻🔥🔥🔥;0;gokil keren banget mas dipo index pointing at the viewer fire fire fire;;;;;;
Tyota supra nya platinum...bodykit nya mantep bgt;0;tyota supra nya platinum bodykit nya mantep bgt;;;;;;;
itu si rijal doyan banget main di ＰＵＬＡＵＷＩＮ. sampe kebeli motor;1;si rijal doyan banget main pulauwin sampe kebel motor;;;;;;;
konten ! keren banget menjelaskannya ! main bagus bang 𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1;konten keren banget jelas main bagus bang weton88;;;;;;;
Harus di bawa ke showcase car sih ini;0;bawa showcase car sih;;;;;;;
seperti melihat 4 buta megang gajah gtu ya?;0;lihat buta megang gajah gtu;;;;;;;
Ditanya prestasi mlh cerita angan2;0;tanya prestasi mlh cerita angan2;;;;;;;
semangat bosqu ; terbaik 𝗦𝗚𝗜𝟴𝟴;1;semangat bosqu baik sgi88;;;;;;
Sungguh edan! JP yang sangat fantastis dan luar biasa besar di 𝐃𝑂𝐑A7𝟩; kembali memecahkan rekor yang ada!;1;sungguh edan jp sangat fantastis luar biasa besar dora77 pecah rekor;;;;;;
temen gue bilang alexis17 tuh bikin nagih abis !;1;temen gue bilang alexis17 tuh bikin nagih abis;;;;;;;
Udh kolesterol bang?😂;0;udh kolesterol bang joy;;;;;;;
Seharusnya influencer2 yang beli bukan nunggu gratisan;;0;influencer2 beli bukan nunggu gratis;;;;;;
berkah rezeki berkat 𝐒𝐆𝐈𝟖𝟖 ; puji syukur !;1;berkah rezeki berkat sgi88 puji syukur;;;;;;
@6G0D_  Ucapan cerminan kualitas dirimu;0;6g d ucap cermin kualitas diri;;;;;;;
Banyak cerita seru yang gue mulai dari 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝.;1;banyak cerita seru gue mulai pulauwin;;;;;;;
sehat kang semngat ngonten dilancarkan urusannya salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1;sehat kang semngat ngonten lancar urus salam weton88;;;;;;;
734 orang tercepat 🎉🎉;0;orang cepat tada tada;;;;;;;
MAJU MAJU BOS BOS 😎;0;maju maju bos bos sunglasses;;;;;;;
kek lebih nyambung ngobrol sama toddler;0;kek lebih nyambung ngobrol sama toddler;;;;;;;
Keyakinan yang membuatnya tidak bisa mencapai titik itu..;0;yakin buat capai titik;;;;;;;
Bjir; menit 18.00 bisa skakmat tu pak Ahokk;0;bjir menit skakmat tu pak ahokk;;;;;;
serius nanya ; 𝘼𝙇𝙀𝙓𝙄𝙎17 beneran sebagus ? fix ?;1;serius nanya alexis17 beneran bagus fix;;;;;;
ada jg mas tow hook yg nempelnya pake lem doang;0;jg mas tow hook yg nempelnya pake lem doang;;;;;;;
alexis'17 perhatian . lihat ditawarkannya .;1;alexis perhati lihat tawar;;;;;;;
Dari modal receh bisa WD jutaan; GG;1;modal receh wd juta gg;;;;;;
Polisi perluas ngak perluas juga sama saja mbak nana ku yang cantik😂😂😂;0;polisi luas ngak luas sama mbak nana ku cantik joy joy joy;;;;;;;
Gini amat wapres gw yaa Alloh;0;gin wapres gw yaa alloh;;;;;;;
Saya sangat menghargai bagaimana ρūlΛυ777 melayani penggunanya.;1;sangat harga bagaimana rully777 layan guna;;;;;;;
Baru gabung ALEXIS⭐17⭐ sebulan; udah bisa buka usaha!;1;baru gabung alexis star star bulan udah buka usaha;;;;;;
cerdas & tangguh banget tuh jawab pertanyaan mba najwa 😂😂;0;cerdas tangguh banget tuh jawab tanya mba najwa joy joy;;;;;;;
emng bener kemarin udah coba probet gas ahh 𝐒𝐆𝐈𝟖𝟖 kawan berbuah manis;1;emng bener kemarin udah coba probet gas ahh sgi88 kawan buah manis;;;;;;;
seminggu join alexis17 ; gue udah beliin ortu kompor gas !;1;minggu join alexis17 gue udah beliin ortu kompor gas;;;;;;
udh wede 3 kali ; gacir pol;1;udh wede kali gacir pol;;;;;;
jersey kiper nya dong bang;0;jersey kiper nya dong bang;;;;;;;
modal wede ; gacir abis;1;modal wede gacir abis;;;;;;
Kali ini ngga skip nonton iklan nya;  lebih menghibur baca komennya 😂;0;kali ngga skip nonton iklan nya lebih hibur baca komennya joy;;;;;;
dak nyangka hasilnya ; puas banget;1;dak nyangka hasil puas banget;;;;;;
​ @hanyanama9308  nice statement sir!;0;hanyanama93 8 nice statement sir;;;;;;;
itu ratu skak... eh bener pa ahok marah2 wkaskwakawk;0;ratu skak eh bener pa ahok marah2 wkaskwakawk;;;;;;;
Pandji KO sama Ahok 24:23;0;pandji ko sama ahok;;;;;;;
#NAME?; dari bahas mbg lalu pangan; tiba2 bahas yg lain;0;hm bahas mbg lalu pangan tiba2 bahas yg;;;;;
Makswin lagi hari ini; mntp sih situsnya;1;makswin hari mntp sih situs;;;;;;
Luar biasa! bang video kamu !! ⭐𝐒𝐆𝐈𝟖𝟖 terpercaya 5k jadi 1jt;1;luar biasa bang video kamu star sgi88 percaya 5k jadi 1jt;;;;;;;
ternyata ramai yg main di mandalika77 wkwkwk mmg lebih gampang jp sih;1;nyata ramai yg main mandalika77 wkwkwk mmg lebih gampang jp sih;;;;;;;
uτang 𝙠elar 𝙜ara-gara maiп ԁi 𝐃o𝑅а𝟽7 ; asⅼi gacir 𝙗anget !;1;utang kelar gara gara maip dora77 asli gacir banget;;;;;;
bersandar di teras rumah sembari ngopi bermain permainan nyelot di 🅼🅰🅽🅳🅰🅻🅸🅺🅰77 nikmat sekaleh.;1;sandar teras rumah sembari ngopi main main nyelot mandalika77 nikmat sekaleh;;;;;;;
main sebentar aja langsung dapet rezeki ; keren banget 𝐃𝐸w𝐴𝐷orа !;1;main sebentar aja langsung dapet rezeki keren banget dewadora;;;;;;
Main santai tapi WD Gacir; cuma di P U L A U 7 7 7.;1;main santai wd gacir cuma pulau77;;;;;;
AKHIRNYA PAK AHOK 🔥🔥🔥;0;akhir pak ahok fire fire fire;;;;;;;
Ges doain ya gw mau coba stop maenGaruda-Ho ki kecanduan bgt gacor nya gw😭;1;ges doain gw mau coba stop maengaruda ho ki candu bgt gacor nya gw sob;;;;;;;
Owner apa tuh bang?;0;owner apa tuh bang;;;;;;;
kayaknya br latihan buat besok bikin video pengunduran diri nih...;0;kayak br latih buat besok bikin video undur diri nih;;;;;;;
gue sih percaya aja alexis17 ; buktinya temen gue sultan;1;gue sih percaya aja alexis17 bukti temen gue sultan;;;;;;
Klo mau liat mobilnya di kostrad cipulir;0;klo mau liat mobil kostrad cipulir;;;;;;;
𝙈𝘈X 𝟥3สู้ใหม่;1;max 33suaihm;;;;;;;
Gas Jadikan Pesona Semua Maz🤣;0;gas jadi pesona semua maz rofl;;;;;;;
NEXT INOVASI HUAWEI;;;;;;;;;
​ @rutsabatbungaaprilia3585  yg komen juga ga nonton 😂😂 emang pengen hujat aja😂😂;0;rutsabatbungaaprilia3585 yg komen ga nonton joy joy emang ken hujat aja joy joy;;;;;;;
promo depositnya bikin hoki;1;promo deposit bikin hoki;;;;;;;
Semua orang bilang ALEXIS⭐17⭐ tuh bener-bener ngebantu keuangan.;1;semua orang bilang alexis star star tuh bener bener ngebantu uang;;;;;;;
Drpd iPhone 14 promax 1 TB 35 juta😂;0;drpd iphone promax tb juta joy;;;;;;;
Bisa2nya  warga jakarta lebih milih Anies waktu PILGUB kmaren;;;😅;0;bisa2nya warga jakarta lebih milih anies waktu pilgub kmaren sweat smile;;;;
bapak nya obel ahmad sahroni kwwkkw;0;bapak nya obel ahmad sahroni kwwkkw;;;;;;;
а 𝐄 𝑅 𝙊 8 𝟾 emang bener-bener gacor;1;aero88 emang bener bener gacor;;;;;;;
orang bilang alexis17 tuh bener-bener bikin ketagihan .;1;orang bilang alexis17 tuh bener bener bikin tagih;;;;;;;
Lagi belajar baca dengan baik dan benar; alias kosong 🤣🤣;0;ajar baca baik benar alias kosong rofl rofl;;;;;;
mandalika77 SUPERRRRRR bosku gacir melayang;1;mandalika77 superrrrrr bos gacir layang;;;;;;;
@ wkwk presiden lo itu bang 😹;0;wkwk presiden lo bang joy cat;;;;;;;
makanya di ban gms; takut kalah saing;0;makanya ban gms takut kalah saing;;;;;;
Anak2 abah gak kasih ijin...;0;anak2 abah gak kasih ijin;;;;;;;
Gak perlu pusing mikirin duit kalo udah gabung ALEXIS⭐17⭐.;1;gak perlu pusing mikirin duit kalo udah gabung alexis star star;;;;;;;
Tempo ngga diundang? 🤔;0;tempo ngga undang thinking;;;;;;;
gapercaya garuda hoki.gampang menang;1;gapercaya garuda hoki gampang menang;;;;;;;
Sedih crash donk;0;sedih crash donk;;;;;;;
emang gak se-mantep alexis17 deh .;1;emang gak se mantep alexis17 deh;;;;;;;
Kasihan negri ini. Semoga Tuhan selalu melindungi negri ini;0;kasihan negri moga tuhan selalu lindung negri;;;;;;;
kepo alexis17 ; beruntung !;1;kepo alexis17 untung;;;;;;
𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin ketagihan !;1;weton88 bikin tagih;;;;;;;
ini rakyat yang mana sih yang dia wakilin?;0;rakyat mana sih wakilin;;;;;;;
Saya masih percaya sama bang panji tolong jangan masuk politik;0;percaya sama bang panji jangan masuk politik;;;;;;;
kalo alexis17 ; pusing ?;1;kalo alexis17 pusing;;;;;;
Harganya Rp. 50.000.000 an aja 😂;0;harga rp an aja joy;;;;;;;
Masih OTW beli🙆🏻‍♂️;0;otw beli person gesturing male sign;;;;;;;
Beli ori nya dimana ya;0;beli ori nya;;;;;;;
misi pak;;;;;;;;;
gates gacor banget ; udh jepe 2 kali;1;gates gacor banget udh jepe kali;;;;;;
gua sales emg gokil siga ru da ho ki-gacorr der;1;gua sales emg gokil siga ru da ho ki gacorr der;;;;;;;
sobek lgi ga nih jersey kaya lawan arab;0;sobek lgi ga nih jersey kaya lawan arab;;;;;;;
Ini 𝓟𝓤𝓛𝓐𝓤𝓦𝓘𝓝 kenapa semua orang bisa tahu sih?;1;pulauwin semua orang tahu sih;;;;;;;
Sekali sekali main ke batam;0;sekali sekali main batam;;;;;;;
Main sekarang; bawa pulang untung besar bareng M𝗮𝘯𝐝𝗮𝑙𝗶𝘬𝐚𝟟𝟳!;1;main sekarang bawa pulang untung besar bareng mandalika77;;;;;;
mmmmmmmmmmmmm lagi dilarang komentar😅;0;mmmmmmmmmmmmm larang komentar sweat smile;;;;;;;
Arief muhammad di omongin wkwkwk;0;arief muhammad omongin wkwkwk;;;;;;;
hapuslah itu komen ᑭ ᑌ ᒪ ᗩ ᑌ ᗯ I ᑎ;1;hapus komen ki te ma bo te goo i ti;;;;;;;
emang gak se-mantep alexis17 deh .;1;emang gak se mantep alexis17 deh;;;;;;;
Auuuuuuuuuu..... Bisa aja saya 😂😂😂;0;auuuuuuuuuu aja joy joy joy;;;;;;;
ke sini karena saya insomnia; kata temenku nnton ini cepet tidur;0;sini insomnia kata temenku nnton cepet tidur;;;;;;
Niat bangettt syg koehhh;0;niat bangettt syg koehhh;;;;;;;
Di hina kgk mempan.. dipuji pun kurang pantas😅;0;hina kgk mempan puji kurang pantas sweat smile;;;;;;;
gue cek notif alexis17 .;1;gue cek notif alexis17;;;;;;;
gue sih yes 𝘼𝙇𝙀𝙓𝙄𝙎17 . banget ?;1;gue sih yes alexis17 banget;;;;;;;
gak pusing mikirin kalo udah join alexis17 .;1;gak pusing mikirin kalo udah join alexis17;;;;;;;
sehari main alexis17 ; gue langsung ketagihan !;1;hari main alexis17 gue langsung tagih;;;;;;
Ini serius presiden???;0;serius presiden;;;;;;;
berkembang arhan semangattt ! ! ! ! ! salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ! gampang jepe;1;kembang arhan semangattt salam weton88 gampang jepe;;;;;;;
Itu pabrik tempat saya kerja 😅;0;pabrik tempat kerja sweat smile;;;;;;;
1:02:02 terlalu banyak oknumnya pak;0;terlalu banyak oknum pak;;;;;;;
Team yg nunggu versi HDC yg 2jt an;0;team yg nunggu versi hdc yg 2jt an;;;;;;;
dulu banyak yg suka jokowi sekarang?;0;dulu banyak yg suka jokowi sekarang;;;;;;;
Volume kecil 😮;0;volume kecil open mouth;;;;;;;
🔥ＡＬＥＸＩＳ１７🔥 Bikin auto happy!. Gaskeun!;1;fire alexis17 fire bikin auto happy gaskeun;;;;;;;
"JUDULNYA MESTI ""BONUS ORANG DALAM"" YA";0;judul mesti bonus orang;;;;;;;
sehat rezeki 𝐒𝐆𝐈𝟖𝟖;1;sehat rezeki sgi88;;;;;;;
tam tim tam tim;0;tam tim tam tim;;;;;;;
Beneran deh; Gak nyangka bisa menang terus di 🔥⚡ALEXIS17⚡?🔥;1;beneran deh gak nyangka menang terus fire zap alexis17 zap fire;;;;;;
Pin komentar om rendem aja;soal banyak banget komen judol nihh;0;pin komentar om rendem aja soal banyak banget komen judol nihh;;;;;;
Anis ahok 2029 udh solusi bangsa ini;0;anis ahok udh solusi bangsa;;;;;;;
